site,T,S,DIC0,Omega0,eta_max_ceiling,safe_dose_umol_kg
black_sea,15.2,17.8,2162.0,1.91,0.893,260.0
halifax,9.4,30.7,2147.0,1.82,0.888,300.0
salish,11.0,29.1,2143.0,1.89,0.886,290.0
iceland,8.4,35.1,2137.0,1.83,0.883,310.0
karsto,9.9,33.5,2133.0,1.91,0.881,300.0
gulf_maine,11.7,32.1,2126.0,2.02,0.877,280.0
north_sea,10.8,34.2,2124.0,1.99,0.876,290.0
puerto_montt,12.8,33.4,2113.0,2.12,0.871,270.0
duck_nc,21.0,34.1,2049.0,2.85,0.837,200.0
kona,25.1,34.9,2011.0,3.28,0.818,160.0
singapore,28.9,32.1,1995.0,3.65,0.81,120.0
