site,n,eff_sd,ONI_r,ONI_lag,NAO_r,NAO_lag,PDO_r,PDO_lag,AAO_r,AAO_lag
salish,100,0.064,-0.15,0,0.31,2,-0.15,3,0.19,2
duck_nc,100,0.062,0.12,6,-0.3,2,-0.17,3,-0.12,5
gulf_maine,84,0.111,0.2,3,-0.17,4,0.07,6,-0.07,5
karsto,100,0.096,-0.1,2,-0.2,1,-0.19,1,-0.1,2
puerto_montt,100,0.089,-0.13,0,0.14,0,0.14,5,0.22,4
singapore,100,0.076,0.13,6,-0.11,6,-0.1,6,-0.15,2
iceland,97,0.094,-0.15,3,0.12,6,0.11,6,0.19,4
black_sea,91,0.121,0.07,0,0.08,6,-0.12,4,0.25,6
kona,100,0.13,0.02,0,0.16,5,0.16,4,0.18,5
north_sea,35,0.048,-0.13,0,-0.23,0,0.31,3,0.25,2
halifax,100,0.086,-0.19,4,-0.25,4,-0.18,1,0.12,3
