site,n_years,cashed_mean,cashed_sd,cashed_p10,cashed_p90,cashed_min,cashed_max,ice_free_mean,cv_pct
puerto_montt,10,0.907,0.024,0.881,0.936,0.867,0.944,1.0,2.7
black_sea,8,0.902,0.072,0.813,0.977,0.772,0.997,1.0,8.0
salish,10,0.728,0.12,0.59,0.83,0.482,0.941,1.0,16.4
north_sea,7,0.704,0.14,0.552,0.858,0.511,0.968,1.0,19.9
singapore,10,0.532,0.119,0.359,0.662,0.357,0.67,1.0,22.3
duck_nc,10,0.491,0.048,0.428,0.537,0.391,0.537,1.0,9.8
gulf_maine,10,0.488,0.109,0.362,0.608,0.288,0.706,1.0,22.4
iceland,10,0.456,0.093,0.353,0.575,0.295,0.623,1.0,20.3
karsto,10,0.421,0.069,0.359,0.531,0.329,0.544,1.0,16.4
halifax,10,0.334,0.03,0.302,0.365,0.271,0.388,0.986,9.0
kona,10,0.223,0.043,0.181,0.262,0.15,0.312,1.0,19.3
