sovereign1,mean_fkin_5yr,n_cells,invest_level
Guyana,0.829221606955594,20,0
Barbados,0.8292216069555939,27,0
Uruguay,0.8044571098581229,32,0
Equatorial Guinea,0.7657281328473982,39,0
Nigeria,0.7645871526407565,38,0
Ghana,0.7420380234440053,60,0
Angola,0.733195576576165,40,0
Canada,0.7065858829293712,562,2
Argentina,0.7025455894207835,206,0
Ivory Coast,0.6992310464837632,45,0
Spain,0.6969431288121103,110,0
Ireland,0.6935466062232521,181,0
Namibia,0.692420917332298,155,0
United Kingdom,0.6894973527113585,989,2
Germany,0.6810581892160515,24,0
Norway,0.680383955153958,1070,2
Netherlands,0.6787150241328492,40,2
Cape Verde,0.6659083539829307,37,0
France,0.6615180289202145,491,0
Denmark,0.6598645459218505,1897,0
Liberia,0.6582402470230915,67,0
Iceland,0.6581587133955406,415,1
Guinea-Bissau,0.6553634515418189,23,0
Guinea,0.6488355440004648,26,0
Madagascar,0.6422763696850237,247,0
Seychelles,0.6377875810408188,159,0
Brazil,0.6340211955047356,520,1
Portugal,0.6340197909345523,192,0
Sierra Leone,0.6317185738318526,42,0
United States,0.6249819901651579,47,2
Dominican Republic,0.6154963595434182,29,0
Sweden,0.6117373536881994,58,0
Comores,0.5950226096103409,27,0
Venezuela,0.5883606712793839,51,0
South Africa,0.5864506928906078,342,0
Finland,0.5513810253690372,25,0
Mozambique,0.5490050273879935,100,0
Republic of Mauritius,0.5275506271757231,378,0
India,0.4884785713940987,133,1
Maldives,0.45595511603908,145,0
Chile,0.32398727633993996,311,2
